store_id,product_id,brand,brand_confidence,variant_tokens,identity_status,identity_version
29631686,22646305660,Bake Shop,lexicon,chocolate,resolved,v1
29631686,22646305668,Bake Shop,lexicon,chocolate,resolved,v1
29631686,1000032999710115,Bake Shop,lexicon,chocolate,resolved,v1
29631686,22646305663,Bake Shop,lexicon,,resolved,v1
29631686,23759084614,Bake Shop,lexicon,chocolate,resolved,v1
29631686,33328556494,Bake Shop,lexicon,,resolved,v1
29631686,23927202735,Bake Shop,lexicon,,resolved,v1
29631686,1000030409614161,Bake Shop,lexicon,,resolved,v1
29631686,34872585564,Bake Shop,lexicon,,resolved,v1
29631686,1000030409614160,Bake Shop,lexicon,,resolved,v1
29631686,22646305657,Bake Shop,lexicon,lemon sliced,resolved,v1
29631686,1000032999710116,Bake Shop,lexicon,,resolved,v1
29631686,1000030409614146,Bake Shop,lexicon,chocolate strawberry,resolved,v1
29631686,1000032999710114,Bake Shop,lexicon,,resolved,v1
29631686,22646305662,Bake Shop,lexicon,raspberry,resolved,v1
29631686,22646305656,Bake Shop,lexicon,banana sliced,resolved,v1
29631686,1000040608402043,Bake Shop,lexicon,sliced,resolved,v1
29631686,23563999732,Bake Shop,lexicon,strawberry,resolved,v1
29631686,33408363032,Bake Shop,lexicon,chocolate,resolved,v1
29631686,22646327488,Baker's Corner,lexicon,,resolved,v1
29631686,35328604931,Baker's,lexicon,,resolved,v1
29631686,33873154325,Baker's,lexicon,honey,resolved,v1
29631686,1000042024938009,Baker's,lexicon,apple cinnamon,resolved,v1
29631686,1000042024938010,Baker's,lexicon,,resolved,v1
29631686,36707925133,Benton's,lexicon,almond chocolate,resolved,v1
29631686,32388998373,Benton's,lexicon,chocolate,resolved,v1
29631686,1000038340833306,Benton's,lexicon,,resolved,v1
29631686,1000038340833305,Benton's,lexicon,,resolved,v1
29631686,40050985415,Bimbo,lexicon,white,resolved,v1
29631686,1000042024938008,Crofton,lexicon,,resolved,v1
29631686,1000042024938007,Crofton,lexicon,,resolved,v1
29631686,1000042024938003,,unknown,,brand_unknown,v1
29631686,1000042024938006,Deutsche K che,lexicon,,resolved,v1
29631686,1000030409614142,L'oven,lexicon,fresh whole,resolved,v1
29631686,22646327477,L'oven,lexicon,fresh whole,resolved,v1
29631686,1000030409614156,L'oven,lexicon,fresh,resolved,v1
29631686,1000030409614135,L'oven,lexicon,fresh,resolved,v1
29631686,22646327501,L'oven,lexicon,fresh,resolved,v1
29631686,22646327480,L'oven,lexicon,fresh,resolved,v1
29631686,22646327504,L'oven,lexicon,fresh,resolved,v1
29631686,1000030409614148,L'oven,lexicon,blueberry fresh,resolved,v1
29631686,22646327476,L'oven,lexicon,fresh,resolved,v1
29631686,1000030409614139,L'oven,lexicon,fresh original,resolved,v1
29631686,1000032843960002,L'oven,lexicon,fresh,resolved,v1
29631686,1000036442509003,L'oven,lexicon,fresh hot,resolved,v1
29631686,1000030409614141,L'oven,lexicon,cinnamon fresh,resolved,v1
29631686,1000030409614159,L'oven,lexicon,cinnamon fresh,resolved,v1
29631686,1000030409614149,L'oven,lexicon,fresh white,resolved,v1
29631686,22646327490,L'oven,lexicon,fresh,resolved,v1
29631686,1000030409614153,L'oven,lexicon,fresh,resolved,v1
29631686,44216925436,L'oven,lexicon,fresh,resolved,v1
29631686,24150431191,L'oven,lexicon,fresh,resolved,v1
29631686,22646305650,L'oven,lexicon,fresh garlic,resolved,v1
29631686,22646327475,L'oven,lexicon,fresh,resolved,v1
29631686,1000042024938005,L'oven,lexicon,fresh,resolved,v1
29631686,24150431190,L'oven,lexicon,fresh,resolved,v1
29631686,22646327515,L'oven,lexicon,fresh sweet,resolved,v1
29631686,1000030409614143,L'oven,lexicon,fresh honey,resolved,v1
29631686,22646327474,L'oven,lexicon,fresh hot,resolved,v1
29631686,30869775397,L'oven,lexicon,fresh,resolved,v1
29631686,22646327517,L'oven,lexicon,fresh keto,resolved,v1
29631686,38874995694,L'oven,lexicon,cinnamon fresh,resolved,v1
29631686,1000033496468001,L'oven,lexicon,fresh keto white,resolved,v1
29631686,22646305643,L'oven,lexicon,fresh original,resolved,v1
29631686,22646305667,L'oven,lexicon,chocolate fresh,resolved,v1
29631686,22646327498,L'oven,lexicon,fresh plain,resolved,v1
29631686,22646305649,L'oven,lexicon,fresh plain,resolved,v1
29631686,1000032999710117,L'oven,lexicon,fresh plain,resolved,v1
29631686,1000001195062312,L'oven,lexicon,fresh plain,resolved,v1
29631686,22646327482,L'oven,lexicon,fresh sliced,resolved,v1
29631686,34919440775,L'oven,lexicon,fresh,resolved,v1
29631686,1000042024938004,L'oven,lexicon,fresh,resolved,v1
29631686,22646327519,L'oven,lexicon,cinnamon fresh,resolved,v1
29631686,22646305642,L'oven,lexicon,fresh red,resolved,v1
29631686,22646327489,L'oven,lexicon,fresh plain,resolved,v1
29631686,1000030409614145,L'oven,lexicon,fresh,resolved,v1
29631686,1000030409614157,L'oven,lexicon,fresh white,resolved,v1
29631686,1000030409614137,L'oven,lexicon,fresh whole,resolved,v1
29631686,22646327479,L'oven,lexicon,fresh,resolved,v1
29631686,1000031863773631,L'oven,lexicon,fresh,resolved,v1
29631686,42227523004,La Tortilla Factory,lexicon,yellow,resolved,v1
29631686,1000032843960003,Little,lexicon,chocolate,resolved,v1
29631686,22646305648,LiveGFree,lexicon,gluten-free whole,resolved,v1
29631686,22646305647,LiveGFree,lexicon,gluten-free white,resolved,v1
29631686,40111455820,Mama,lexicon,,resolved,v1
29631686,22646305630,Mama Cozzi's,lexicon,chocolate,resolved,v1
29631686,44192076772,,unknown,original sweet,brand_unknown,v1
29631686,30901111630,Park Street Deli,lexicon,,resolved,v1
29631686,30901111631,Park Street Deli,lexicon,,resolved,v1
29631686,33873154320,Pillsbury,lexicon,original,resolved,v1
29631686,1000033272212003,Pueblo Lindo,lexicon,,resolved,v1
29631686,22646305614,Pueblo Lindo,lexicon,,resolved,v1
29631686,1000030409614136,Pueblo Lindo,lexicon,,resolved,v1
29631686,1000032999710119,Pueblo Lindo,lexicon,,resolved,v1
29631686,1000030409614158,Pueblo Lindo,lexicon,gluten-free,resolved,v1
29631686,1000032999710118,Pueblo Lindo,lexicon,gluten-free,resolved,v1
29631686,22646327483,Pueblo Lindo,lexicon,,resolved,v1
29631686,27227968635,Pueblo Lindo,lexicon,white,resolved,v1
29631686,1000033272212004,Pueblo Lindo,lexicon,yellow,resolved,v1
29631686,22646305594,Romero's,lexicon,,resolved,v1
29631686,22646305597,Romero's,lexicon,,resolved,v1
29631686,34771265921,Romero's,lexicon,,resolved,v1
29631686,1000033272212001,Romero's,lexicon,,resolved,v1
29631686,22646305592,Romero's,lexicon,white,resolved,v1
29631686,22646305591,Romero's,lexicon,white,resolved,v1
29631686,22646305593,Romero's,lexicon,yellow,resolved,v1
29631686,22646327497,Sea,lexicon,caramel,resolved,v1
29631686,1000031863773630,Simply Nature,lexicon,organic white,resolved,v1
29631686,35184690569,Simply Nature,lexicon,organic,resolved,v1
29631686,1000030409614147,Simply Nature,lexicon,organic,resolved,v1
29631686,1000031863773629,Simply Nature,lexicon,organic,resolved,v1
29631686,33953693608,Simply Nature,lexicon,organic,resolved,v1
29631686,1000030409614150,Simply Nature,lexicon,organic,resolved,v1
29631686,1000030409614138,Specially Selected,lexicon,,resolved,v1
29631686,30342840354,Specially Selected,lexicon,,resolved,v1
29631686,1000041308146014,Specially Selected,lexicon,,resolved,v1
29631686,1000006876175105,Specially Selected,lexicon,,resolved,v1
29631686,32577119903,Specially Selected,lexicon,original,resolved,v1
29631686,23953407144,Specially Selected,lexicon,,resolved,v1
29631686,22646327481,Specially Selected,lexicon,,resolved,v1
